https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMTQ0NzAxMjQ4ODAxNTk5OjE2OTI3OTA5NDE6c3BfbXRmOjIwMTA1NzE1ODIxNTk4OjowOjo&url=%2Fuppercase-Professional-resistant-sustainable-Anti-theft%2Fdp%2FB0BR1C59R8%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692790941%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty","1,900",4.5,
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1692790941&sprefix=ba%2Caps%2C283&sr=8-13,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,899,4.3,
https://www.amazon.in/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1692790941&sprefix=ba%2Caps%2C283&sr=8-14,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"1,399",4.1,
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1692790941&sprefix=ba%2Caps%2C283&sr=8-15,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,
https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1692790941&sprefix=ba%2Caps%2C283&sr=8-16,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,199,3.7,
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1692790941&sprefix=ba%2Caps%2C283&sr=8-17,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,979,4.4,
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1692790941&sprefix=ba%2Caps%2C283&sr=8-18,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),550,4.3,
https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1692790941&sprefix=ba%2Caps%2C283&sr=8-19,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"2,139",4.5,
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1692790941&sprefix=ba%2Caps%2C283&sr=8-20,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,399",4.2,
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMTQ0NzAxMjQ4ODAxNTk5OjE2OTI3OTA5NDE6c3BfYnRmOjIwMDk3NTc5NTAxNzk4OjowOjo&url=%2FUppercase-Medium-Laptop-Backpack-2100Ebp1%2Fdp%2FB0B691HSL3%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692790941%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,uppercase 14 Ltrs Medium (14.6 Inch) Laptop Backpack 2100EBP1 Roll Top Office College 3x More Water Repellent Sustainable Bags With Rainproof Zippers For Unisex,"1,000",4.2,
